loader,seed,warmup,epoch,n_batches,n_samples,wall_seconds,samples_per_second,time_to_first_batch,stall_fraction,fetch_p50,fetch_p95,fetch_p99,compute_p50
imagefolder,0,True,0,80,5120,45.616347709001275,112.24046328000286,0.25064304200350307,0.005873198471510739,0.00022310399799607694,0.0002726559469010681,0.05291093735460734,0.554698208499758
imagefolder,0,False,1,80,5120,45.59703499999887,112.28800293703587,0.19799429099657573,0.004730343233605681,0.00022622899996349588,0.0002876184385968372,0.04190203445788815,0.5599577710090671
imagefolder,1,True,0,80,5120,45.73313550000603,111.95383705976873,0.22041091600840446,0.005199893279914918,0.00022593749599764124,0.0002796871922328137,0.04666998864209607,0.5585957919975044
imagefolder,1,False,1,80,5120,45.85989824999706,111.64438202826427,0.24964416600414552,0.005821680657976092,0.000228228498599492,0.00027152470793225794,0.052803972529216744,0.5578244170028483
imagefolder,2,True,0,80,5120,47.42673704100889,107.95598262585185,0.21144612500211224,0.004834878896000298,0.0002317710022907704,0.00027664730150718243,0.04473796800026189,0.5823311039930559
imagefolder,2,False,1,80,5120,47.20651558300597,108.45960428909873,0.2023714579991065,0.004682258183689183,0.0002283335052197799,0.0003111660007562022,0.04318322174556544,0.5822345834967564
webdataset,0,True,0,80,5085,49.386464249997516,102.96343496589262,1.2215584170044167,0.02511130343124081,0.00023379200138151646,0.000270297937822761,0.25681752124815066,0.590217583499907
webdataset,0,False,1,80,5085,50.61813108299975,100.4580748282074,1.2570021669962443,0.025202308994755094,0.0002265204966533929,0.0003016809001564979,0.26429385931739613,0.5904996245008078
webdataset,1,True,0,80,5085,51.55530433400418,98.63194613412654,1.310808584006736,0.02579271362789549,0.0002302290013176389,0.0003117163520073518,0.2755567823930969,0.613867145992117
webdataset,1,False,1,80,5085,48.25690312500228,105.37352525146649,1.313407667010324,0.0276054767512999,0.00022699999681208283,0.00029028540157014496,0.27610531060242555,0.5821351249978761
webdataset,2,True,0,80,5085,48.65707541699521,104.50689763865016,1.290932125004474,0.026927764148422465,0.00023116650118026882,0.0003106607495283242,0.2714285456099525,0.584346124996955
webdataset,2,False,1,80,5085,50.95539212500444,99.79316786583472,1.2539933750085765,0.024989893707207098,0.00023656249686609954,0.00032577149977441855,0.26368288879121915,0.6074682085018139
datasetfs,0,True,0,80,5120,50.24484820799262,101.90099448216752,2.099648041999899,0.04215795306018765,0.00022718749823980033,0.0003590003434510436,0.44125305435851764,0.5849403954998706
datasetfs,0,False,1,80,5120,49.89537462500448,102.61472207554431,1.7332282499992289,0.03511022698498649,0.00023612550285179168,0.00029110239847796027,0.36431111427954244,0.5958429999955115
datasetfs,1,True,0,80,5120,47.46716183400713,107.86404331282039,1.661510250007268,0.03536631171503322,0.00022264549625106156,0.00026302529877284523,0.34925355331898444,0.5651686250057537
datasetfs,1,False,1,80,5120,49.2925997919956,103.86954677994918,1.6427698339975905,0.03368818898732943,0.00022581299708690494,0.0002650291455211118,0.345391967007007,0.58394039599807
datasetfs,2,True,0,80,5120,47.892256124992855,106.90663615089325,1.6018806249921909,0.033825351746448844,0.00022493749565910548,0.00027220000556553713,0.336648069423235,0.5619384584933869
datasetfs,2,False,1,80,5120,47.79139720801322,107.1322518091504,1.592679000008502,0.03371059900252848,0.00022633349726675078,0.00028516455276985655,0.3347380032477568,0.5630939794937149
